USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool
723656,SATA FE COUNTY MUNICIPAL AP,NM,35.617,-106.083,-7,1934,II,12
723658,FARMINGTON FOUR CORNERS REGL,NM,36.75,-108.233,-7,1675,II,12
723663,TAOS MUNI APT(AWOS),NM,36.45,-105.667,-7,2161,III,12
723676,TUCUMCARI FAA AP,NM,35.183,-103.6,-7,1235,II,21
723677,LAS VEGAS MUNICIPAL ARPT,NM,35.65,-105.15,-7,2093,II,12
723700,KINGMAN (AMOS),AZ,35.267,-113.95,-7,1033,II,12
723710,PAGE MUNI (AMOS),AZ,36.933,-111.45,-7,1304,III,10
723723,PRESCOTT LOVE FIELD,AZ,34.65,-112.417,-7,1537,I,24
723740,WINSLOW MUNICIPAL AP,AZ,35.033,-110.717,-7,1490,II,12
723747,SHOW LOW MUNICIPAL,AZ,34.267,-110,-7,1954,II,12
723755,FLAGSTAFF PULLIAM ARPT,AZ,35.133,-111.667,-7,2132,III,22
723783,GRAND CANYON NATL P,AZ,35.95,-112.15,-7,2065,II,12
723805,NEEDLES AIRPORT,CA,34.767,-114.617,-8,279,II,12
723810,EDWARDS AFB,CA,34.9,-117.867,-8,706,II,12
723815,DAGGETT BARSTOW-DAGGETT AP,CA,34.85,-116.8,-8,586,I,24
723816,LANCASTER GEN WM FOX FIELD,CA,34.733,-118.217,-8,713,II,12
723820,PALMDALE AIRPORT,CA,34.633,-118.083,-8,769,II,12
723830,SANDBERG,CA,34.75,-118.717,-8,1377,III,10
723840,BAKERSFIELD MEADOWS FIELD,CA,35.433,-119.05,-8,149,I,24
723860,LAS VEGAS MCCARRAN INTL AP,NV,36.083,-115.15,-8,648,I,24
723865,NELLIS AFB,NV,36.25,-115.033,-8,573,II,12
723870,MERCURY DESERT ROCK AP [SURFRAD],NV,36.63,-116.02,-8,935,I,12
723890,FRESNO YOSEMITE INTL AP,CA,36.783,-119.717,-8,102,I,24
723895,PORTERVILLE (AWOS),CA,36.033,-119.067,-8,135,III,12
723896,VISALIA MUNI (AWOS),CA,36.317,-119.4,-8,89,II,12
723910,POINT MUGU NF,CA,34.117,-119.117,-8,3,II,12
723925,SANTA BARBARA MUNICIPAL AP,CA,34.433,-119.85,-8,3,I,12
723926,CAMARILLO (AWOS),CA,34.217,-119.083,-8,23,III,12
723927,OXNARD AIRPORT,CA,34.2,-119.2,-8,11,II,12
723940,SANTA MARIA PUBLIC ARPT,CA,34.917,-120.467,-8,77,I,24
723965,PASO ROBLES MUNICIPAL ARPT,CA,35.667,-120.633,-8,244,II,12
724010,RICHMOND INTERNATIONAL AP,VA,37.517,-77.317,-5,50,I,24
724014,DINWIDDIE CO,VA,37.183,-77.517,-5,60,III,12
724016,CHARLOTTESVILLE FAA,VA,38.133,-78.45,-5,190,II,12
724017,FARMVILLE,VA,37.35,-78.433,-5,125,III,11
724026,MELFA/ACCOMACK ARPT,VA,37.65,-75.767,-5,15,III,11
724030,WASHINGTON DC DULLES INT'L AR [STERLING - ISIS],VA,38.98,-77.47,-5,82,I,24
724033,SHANNON ARPT,VA,38.267,-77.45,-5,26,III,11
724035,QUANTICO MCAS,VA,38.5,-77.3,-5,4,II,12
724036,MANASSAS MUNI(AWOS),VA,38.717,-77.517,-5,59,III,12
724037,DAVISON AAF,VA,38.717,-77.183,-5,27,II,12
724040,PATUXENT RIVER NAS,MD,38.3,-76.417,-5,14,II,12
724045,SALISBURY WICOMICO CO AP,MD,38.333,-75.517,-5,15,II,12
724050,WASHINGTON DC REAGAN AP,VA,38.867,-77.033,-5,3,I,12
724053,WINCHESTER RGNL,VA,39.15,-78.15,-5,222,III,11
724055,LEESBURG/GODFREY,VA,39.083,-77.567,-5,119,III,11
724056,MARION / WYTHEVILLE,VA,36.9,-81.35,-5,780,III,10
724058,ABINGTON,VA,36.683,-82.033,-5,631,III,10
724060,BALTIMORE BLT-WASHNGTN INT'L,MD,39.167,-76.683,-5,45,I,24
724066,HAGERSTOWN RGNL RIC,MD,39.7,-77.733,-5,220,II,12
724070,ATLANTIC CITY INTL AP,NJ,39.45,-74.567,-5,18,I,24
724075,MILLVILLE MUNICIPAL AP,NJ,39.367,-75.083,-5,21,II,12
724080,PHILADELPHIA INTERNATIONAL AP,PA,39.867,-75.233,-5,2,I,24
724084,BELMAR ASC,NJ,40.183,-74.067,-5,26,III,12
724085,PHILADELPHIA NE PHILADELPHIA,PA,40.083,-75.017,-5,30,II,12
724086,WILLOW GROVE NAS,PA,40.2,-75.15,-5,102,II,12
724088,DOVER AFB,DE,39.133,-75.467,-5,7,II,12
724089,WILMINGTON NEW CASTLE CNTY AP,DE,39.667,-75.6,-5,23,I,24
724094,CALDWELL/ESSEX CO.,NJ,40.883,-74.283,-5,53,II,12
724095,TRENTON MERCER COUNTY AP,NJ,40.283,-74.817,-5,65,II,12
724096,MCGUIRE AFB,NJ,40.017,-74.6,-5,45,II,12
724100,LYNCHBURG REGIONAL ARPT,VA,37.333,-79.2,-5,286,I,24
724105,STAUNTON/SHENANDOAH,VA,38.267,-78.9,-5,366,II,12
724106,DANVILLE FAA AP,VA,36.567,-79.333,-5,176,II,12
724107,HILLSVILLE,VA,36.767,-80.817,-5,834,III,11
724110,ROANOKE REGIONAL AP,VA,37.317,-79.967,-5,350,I,24
724113,VIRGINIA TECH ARPT,VA,37.217,-80.417,-5,650,III,11
724115,HOT SPRINGS/INGALLS,VA,37.95,-79.833,-5,1156,III,12
724116,PULASKI,VA,37.133,-80.683,-5,642,III,11
724117,WISE/LONESOME PINE,VA,36.983,-82.533,-5,817,III,11
724120,BECKLEY RALEIGH CO MEM AP,WV,37.8,-81.117,-5,763,I,12
724125,BLUEFIELD/MERCER CO [NREL],WV,37.27,-81.24,-5,803,II,12
724127,LEWISBURG/GREENBRIE,WV,37.867,-80.4,-5,702,II,12
724140,CHARLESTON YEAGER ARPT,WV,38.383,-81.583,-5,310,I,24
724170,ELKINS ELKINS-RANDOLPH CO ARP,WV,38.883,-79.85,-5,594,I,24
724175,HARRISON MARION RGN,WV,39.283,-80.233,-5,380,II,12
724176,MORGANTOWN HART FIELD,WV,39.65,-79.917,-5,378,II,12
724177,MARTINSBURG EASTERN WV REG AP,WV,39.4,-77.983,-5,162,II,12
724210,CINCINNATI NORTHERN KY AP,KY,39.05,-84.667,-5,265,I,24
724220,LEXINGTON BLUEGRASS AP,KY,38.033,-84.6,-5,294,I,24
724230,LOUISVILLE STANDIFORD FIELD,KY,38.183,-85.733,-5,147,I,24
724235,LOUISVILLE BOWMAN FIELD,KY,38.233,-85.667,-5,165,II,12
724236,JACKSON JULIAN CARROLL AP,KY,37.583,-83.317,-5,416,I,12
724238,HENDERSON CITY,KY,37.817,-87.683,-6,117,III,12
724240,FORT KNOX GODMAN AAF,KY,37.9,-85.967,-5,239,II,12
724243,LONDON-CORBIN AP,KY,37.083,-84.083,-5,362,II,12
724250,HUNTINGTON TRI-STATE ARPT,WV,38.383,-82.55,-5,253,I,24
724273,PARKERSBURG WOOD COUNTY AP,WV,39.35,-81.433,-5,253,II,12
724275,WHEELING OHIO COUNTY AP,WV,40.183,-80.65,-5,359,II,12
724280,COLUMBUS PORT COLUMBUS INTL A,OH,39.983,-82.883,-5,247,I,24
724286,ZANESVILLE MUNICIPAL AP,OH,39.95,-81.9,-5,268,II,12
724288,OHIO STATE UNIVERSI,OH,40.067,-83.067,-5,283,II,12
724290,DAYTON INTERNATIONAL AIRPORT,OH,39.9,-84.217,-5,305,I,24
724297,CINCINNATI MUNICIPAL AP LUNKI,OH,39.1,-84.417,-5,149,II,12
724320,EVANSVILLE REGIONAL AP,IN,38.05,-87.533,-6,116,I,24
724335,MOUNT VERNON (AWOS),IL,38.317,-88.867,-6,146,II,12
724336,SOUTHERN ILLINOIS,IL,37.767,-89.25,-6,128,II,12
724338,BELLEVILLE SCOTT AFB,IL,38.55,-89.85,-6,135,II,12
724339,MARION REGIONAL,IL,37.75,-89.017,-6,144,II,12
724340,ST LOUIS LAMBERT INT'L ARPT,MO,38.75,-90.367,-6,173,I,24
724345,ST LOUIS SPIRIT OF ST LOUIS A,MO,38.65,-90.65,-6,141,I,12
724350,PADUCAH BARKLEY REGIONAL AP,KY,37.05,-88.767,-6,124,I,12
724354,SOMERSET(AWOS),KY,38,-84.6,-5,283,III,12
724365,HUNTINGBURG,IN,38.25,-86.95,-5,161,III,11
724373,TERRE HAUTE HULMAN REGIONAL A,IN,39.45,-87.3,-5,175,II,12
724375,MONROE CO,IN,39.133,-86.617,-5,264,II,12
724380,INDIANAPOLIS INTL AP,IN,39.717,-86.267,-5,241,I,24
724386,LAFAYETTE PURDUE UNIV AP,IN,40.417,-86.933,-5,183,II,12
724390,SPRINGFIELD CAPITAL AP,IL,39.85,-89.683,-6,179,I,24
724396,QUINCY MUNI BALDWIN FLD,IL,39.933,-91.2,-6,233,II,12
724397,CENTRAL ILLINOIS RG,IL,40.467,-88.917,-6,272,II,12
724400,SPRINGFIELD REGIONAL ARPT,MO,37.233,-93.383,-6,384,I,24
724450,COLUMBIA REGIONAL AIRPORT,MO,38.817,-92.217,-6,272,I,24
724454,FARMINGTON,MO,37.767,-90.4,-6,274,III,10
724455,KIRKSVILLE REGIONAL AP,MO,40.1,-92.55,-6,294,II,12
724456,VICHY ROLLA NATL ARPT,MO,38.133,-91.767,-6,336,II,12
724457,FT LNRD WD AAF,MO,37.75,-92.15,-6,351,II,12
724458,JEFFERSON CITY MEM,MO,38.583,-92.15,-6,167,II,12
724459,KAISER MEM (AWOS),MO,38.1,-92.55,-6,265,II,12
724460,KANSAS CITY INT'L ARPT,MO,39.3,-94.717,-6,298,I,24
724463,KANSAS CITY DOWNTOWN AP,MO,39.117,-94.6,-6,226,II,12
724467,WHITEMAN AFB,MO,38.717,-93.55,-6,255,II,12
724468,OLATHE/JOHNSON CO.,KS,38.85,-94.733,-6,334,II,12
724475,OLATHE JOHNSON CO INDUSTRIAL,KS,38.833,-94.883,-6,331,II,12
724490,ST JOSEPH ROSECRANS MEMORIAL,MO,39.767,-94.9,-6,247,II,12
724500,WICHITA MID-CONTINENT AP,KS,37.65,-97.433,-6,402,II,24
724504,WICHITA/COL. JABARA,KS,37.75,-97.217,-6,433,III,10
724505,MCCONNELL AFB,KS,37.617,-97.267,-6,414,II,12
724506,HUTCHINSON MUNICIPAL AP,KS,38.067,-97.867,-6,463,II,12
724507,CHANUTE MARTIN JOHNSON AP,KS,37.667,-95.483,-6,298,II,12
724509,NEWTON (AWOS),KS,38.05,-97.283,-6,467,III,12
724510,DODGE CITY REGIONAL AP,KS,37.767,-99.967,-6,785,II,24
724515,GARDEN CITY MUNICIPAL AP,KS,37.933,-100.717,-6,878,II,12
724516,LIBERAL MUNI,KS,37.033,-100.967,-6,901,II,12
724517,GREAT BEND (AWOS),KS,38.35,-98.867,-6,575,II,12
724518,HAYS MUNI (AWOS),KS,38.85,-99.267,-6,609,II,12
724550,FORT RILEY MARSHALL AAF,KS,39.05,-96.767,-6,324,III,10
724555,MANHATTAN RGNL,KS,39.133,-96.667,-6,330,II,12
724556,EMPORIA MUNICIPAL AP,KS,38.333,-96.183,-6,368,II,12
724560,TOPEKA MUNICIPAL AP,KS,39.067,-95.633,-6,269,II,24
724565,TOPEKA FORBES FIELD,KS,38.95,-95.667,-6,325,II,12
724580,CONCORDIA BLOSSER MUNI AP,KS,39.55,-97.65,-6,448,II,12
724585,RUSSELL MUNICIPAL AP,KS,38.883,-98.817,-6,566,I,12
724586,SALINA MUNICIPAL AP,KS,38.817,-97.667,-6,385,II,12
724620,ALAMOSA SAN LUIS VALLEY RGNL,CO,37.433,-105.867,-7,2296,II,24
724625,DURANGO/LA PLATA CO,CO,37.15,-107.75,-7,2038,II,12
724635,LA JUNTA MUNICIPAL AP,CO,38.05,-103.533,-7,1281,II,12
724636,LAMAR MUNICIPAL,CO,38.067,-102.683,-7,1129,III,10
724640,PUEBLO MEMORIAL AP,CO,38.283,-104.5,-7,1428,II,24
724645,TRINIDAD LAS ANIMAS COUNTY AP,CO,37.267,-104.333,-7,1751,II,12
724650,GOODLAND RENNER FIELD,KS,39.367,-101.7,-7,1111,II,24
724655,HILL CITY MUNICIPAL AP,KS,39.383,-99.833,-6,667,II,12
724660,COLORADO SPRINGS MUNI AP,CO,38.817,-104.717,-7,1872,II,24
724665,LIMON,CO,39.183,-103.717,-7,1695,I,12
724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,39.742,-105.179,-7,1829,II,12
724673,LEADVILLE/LAKE CO.,CO,39.217,-106.317,-7,3026,II,12
724675,EAGLE COUNTY AP,CO,39.65,-106.917,-7,1980,II,21
724676,ASPEN PITKIN CO SAR,CO,39.217,-106.867,-7,2444,II,12
724677,GUNNISON CO. (AWOS),CO,38.533,-106.933,-7,2339,II,12
724695,AURORA BUCKLEY FIELD ANGB,CO,39.717,-104.75,-7,1726,II,12
724698,AKRON WASHINGTON CO AP,CO,40.167,-103.233,-7,1421,II,12
724699,BROOMFIELD/JEFFCO [BOULDER - SURFRAD],CO,40.13,-105.24,-7,1689,III,12
724723,BLANDING,UT,37.617,-109.483,-7,1841,II,12
724735,HANKSVILLE,UT,38.367,-110.717,-7,1313,II,12
724754,SAINT GEORGE (AWOS),UT,37.083,-113.6,-7,896,II,12
724755,CEDAR CITY MUNICIPAL AP,UT,37.7,-113.1,-7,1703,I,24
724756,BRYCE CNYN FAA AP,UT,37.7,-112.15,-7,2312,II,12
724760,GRAND JUNCTION WALKER FIELD,CO,39.133,-108.533,-7,1475,I,24
724765,MONTROSE CO. ARPT,CO,38.5,-107.9,-7,1755,II,12
724767,CORTEZ/MONTEZUMA CO,CO,37.3,-108.633,-7,1803,II,12
724768,GREELEY/WELD (AWOS),CO,40.433,-104.633,-7,1420,II,12
724769,FORT COLLINS (AWOS),CO,40.45,-105.017,-7,1529,II,12
724776,MOAB/CANYONLANDS [UO],UT,38.58,-109.54,-7,1000,III,10
724795,DELTA,UT,39.333,-112.583,-7,1414,II,12
724800,BISHOP AIRPORT,CA,37.367,-118.35,-8,1250,II,12
724815,MERCED/MACREADY FLD,CA,37.283,-120.517,-8,47,II,12
724830,SACRAMENTO EXECUTIVE ARPT,CA,38.5,-121.5,-8,5,I,24
724837,BEALE AFB,CA,39.133,-121.433,-8,38,II,12
724838,YUBA CO,CA,39.1,-121.567,-8,19,II,12
724839,SACRAMENTO METROPOLITAN AP,CA,38.7,-121.583,-8,7,II,12
724855,TONOPAH AIRPORT,NV,38.067,-117.083,-8,1655,I,24
724860,ELY YELLAND FIELD,NV,39.3,-114.85,-8,1909,I,24
724880,RENO TAHOE INTERNATIONAL AP,NV,39.483,-119.767,-8,1342,I,24
724885,FALLON NAAS,NV,39.417,-118.717,-8,1199,II,12
724915,MONTEREY NAF,CA,36.6,-121.867,-8,50,II,12
724917,SALINAS MUNICIPAL AP,CA,36.667,-121.6,-8,21,II,12
724920,STOCKTON METROPOLITAN ARPT,CA,37.9,-121.233,-8,7,II,12
724926,MODESTO CITY-COUNTY AP,CA,37.633,-120.95,-8,30,II,12
724927,LIVERMORE MUNICIPAL,CA,37.7,-121.817,-8,121,II,12
724930,OAKLAND METROPOLITAN ARPT,CA,37.717,-122.217,-8,2,II,12
724935,HAYWARD AIR TERM,CA,37.667,-122.117,-8,14,II,12
724936,CONCORD CONCORD-BUCHANAN FIEL,CA,38,-122.05,-8,7,II,12
724940,SAN FRANCISCO INTL AP,CA,37.617,-122.4,-8,2,I,24
724945,SAN JOSE INTL AP,CA,37.367,-121.933,-8,16,II,12
724955,NAPA CO. AIRPORT,CA,38.217,-122.283,-8,10,II,12
724957,SANTA ROSA (AWOS),CA,38.517,-122.817,-8,38,II,12
725020,NEWARK INTERNATIONAL ARPT,NJ,40.717,-74.183,-5,3,I,24
725025,TETERBORO AIRPORT,NJ,40.85,-74.067,-5,3,II,12
725029,OXFORD (AWOS),CT,41.483,-73.133,-5,222,III,12
725030,NEW YORK LAGUARDIA ARPT,NY,40.783,-73.883,-5,3,I,12
725033,NEW YORK CENTRAL PRK OBS BELV,NY,40.783,-73.967,-5,40,III,17
725035,ISLIP LONG ISL MACARTHUR AP,NY,40.783,-73.1,-5,26,I,12
725036,POUGHKEEPSIE DUTCHESS CO AP,NY,41.633,-73.883,-5,47,II,12
725037,WHITE PLAINS WESTCHESTER CO A,NY,41.067,-73.717,-5,122,II,12
725038,STEWART FIELD,NY,41.5,-74.1,-5,177,II,12
725040,BRIDGEPORT SIKORSKY MEMORIAL,CT,41.183,-73.15,-5,3,I,24
725045,NEW HAVEN TWEED AIRPORT,CT,41.267,-72.883,-5,2,II,12
725046,GROTON NEW LONDON AP,CT,41.333,-72.05,-5,3,II,12
725054,PAWTUCKET (AWOS),RI,41.917,-71.5,-5,134,II,12
725058,BLOCK ISLAND STATE ARPT,RI,41.167,-71.583,-5,34,II,12
725060,OTIS ANGB,MA,41.65,-70.517,-5,40,II,12
725063,NANTUCKET MEMORIAL AP,MA,41.25,-70.067,-5,14,II,12
725064,PLYMOUTH MUNICIPAL,MA,41.917,-70.733,-5,45,III,11
725065,NEW BEDFORD RGNL,MA,41.667,-70.95,-5,25,II,12
725066,MARTHAS VINEYARD,MA,41.4,-70.617,-5,21,II,12
725067,BARNSTABLE MUNI BOA,MA,41.667,-70.283,-5,17,II,12
725070,PROVIDENCE T F GREEN STATE AR,RI,41.717,-71.433,-5,16,I,24
725073,PROVINCETOWN (AWOS),MA,42.067,-70.217,-5,2,II,12
725075,NORTH ADAMS,MA,42.7,-73.167,-5,201,III,10
725080,HARTFORD BRADLEY INTL AP,CT,41.933,-72.683,-5,49,I,24
725086,DANBURY MUNICIPAL,CT,41.367,-73.483,-5,139,II,12
725087,HARTFORD BRAINARD FD,CT,41.733,-72.65,-5,6,II,12
725088,BEVERLY MUNI,MA,42.583,-70.917,-5,34,II,12
725090,BOSTON LOGAN INT'L ARPT,MA,42.367,-71.017,-5,6,I,24
725095,WORCHESTER REGIONAL ARPT,MA,42.267,-71.883,-5,300,I,24
725098,NORWOOD MEMORIAL,MA,42.183,-71.183,-5,15,II,12
725103,READING SPAATZ FIELD,PA,40.367,-75.967,-5,104,II,12
725115,MIDDLETOWN HARRISBURG INTL AP,PA,40.2,-76.767,-5,92,I,12
725116,LANCASTER,PA,40.117,-76.3,-5,126,II,12
725117,WASHINGTON (AWOS),PA,40.133,-80.283,-5,361,II,12
725118,HARRISBURG CAPITAL CITY ARPT,PA,40.217,-76.85,-5,104,II,24
725124,BUTLER CO. (AWOS),PA,40.783,-79.95,-5,380,III,12
725125,DUBOIS FAA AP,PA,41.183,-78.9,-5,553,II,12
725126,ALTOONA BLAIR CO ARPT,PA,40.3,-78.317,-5,451,II,12
725127,JOHNSTOWN CAMBRIA COUNTY AP,PA,40.317,-78.833,-5,695,II,12
725128,STATE COLLEGE [PENN STATE - SURFRAD],PA,40.72,-77.93,-5,376,II,12
725130,WILKES-BARRE SCRANTON INTL AP,PA,41.333,-75.733,-5,284,I,24
725140,WILLIAMSPORT REGIONAL AP,PA,41.25,-76.917,-5,158,I,24
725145,MONTICELLO(AWOS),NY,41.7,-74.8,-5,428,II,12
725150,BINGHAMTON EDWIN A LINK FIELD,NY,42.2,-75.983,-5,488,I,24
725156,ELMIRA CORNING REGIONAL AP,NY,42.167,-76.9,-5,291,II,12
725165,RUTLAND STATE,VT,43.517,-72.95,-5,246,II,12
725170,ALLENTOWN LEHIGH VALLEY INTL,PA,40.65,-75.45,-5,119,I,24
725180,ALBANY COUNTY AP,NY,42.75,-73.8,-5,84,I,24
725185,GLENS FALLS AP,NY,43.35,-73.617,-5,98,II,12
725190,SYRACUSE HANCOCK INT'L ARPT,NY,43.117,-76.1,-5,125,I,24
725197,UTICA ONEIDA COUNTY AP,NY,43.15,-75.383,-5,217,II,12
725200,PITTSBURGH INTERNATIONAL AP,PA,40.5,-80.233,-5,350,I,24
725205,PITTSBURGH ALLEGHENY CO AP,PA,40.35,-79.917,-5,380,II,12
725210,AKRON AKRON-CANTON REG AP,OH,40.917,-81.433,-5,368,I,24
725235,JAMESTOWN (AWOS),NY,42.15,-79.267,-5,525,II,12
725240,CLEVELAND HOPKINS INTL AP,OH,41.4,-81.85,-5,235,I,24
725245,BURKE LAKEFRONT,OH,41.517,-81.683,-5,182,II,12
725246,MANSFIELD LAHM MUNICIPAL ARPT,OH,40.817,-82.517,-5,395,I,24
725250,YOUNGSTOWN REGIONAL AIRPORT,OH,41.25,-80.667,-5,360,I,24
725260,ERIE INTERNATIONAL AP,PA,42.083,-80.183,-5,222,I,24
725266,BRADFORD REGIONAL AP,PA,41.8,-78.633,-5,645,I,24
725267,FRANKLIN,PA,41.383,-79.867,-5,470,II,12
725280,BUFFALO NIAGARA INTL AP,NY,42.933,-78.733,-5,215,I,24
725287,NIAGARA FALLS AF,NY,43.1,-78.95,-5,180,II,12
725290,ROCHESTER GREATER ROCHESTER I,NY,43.117,-77.683,-5,183,I,24
725300,CHICAGO OHARE INTL AP,IL,41.983,-87.917,-6,201,I,24
725305,W. CHICAGO/DU PAGE,IL,41.917,-88.25,-6,231,II,12
725314,CAHOKIA/ST. LOUIS,IL,38.567,-90.15,-6,126,II,12
725315,UNIV OF ILLINOIS WI [BONDVILLE - SURFRAD],IL,40.06,-88.37,-6,213,II,12
725316,DECATUR,IL,39.833,-88.867,-6,213,II,12
725320,PEORIA GREATER PEORIA AP,IL,40.667,-89.683,-6,199,I,24
725326,STERLING ROCKFALLS,IL,41.75,-89.667,-6,197,II,12
725330,FORT WAYNE INTL AP,IN,41,-85.2,-5,241,I,24
725335,GRISSOM ARB,IN,40.65,-86.15,-5,253,II,12
725336,DELAWARE CO JOHNSON,IN,40.233,-85.4,-5,293,II,12
725340,CHICAGO MIDWAY AP,IL,41.783,-87.75,-6,186,II,12
725347,CHICAGO/WAUKEGAN,IL,42.417,-87.867,-6,222,II,12
725350,SOUTH BEND MICHIANA RGNL AP,IN,41.7,-86.333,-5,236,I,24
725360,TOLEDO EXPRESS AIRPORT,OH,41.583,-83.8,-5,204,I,24
725366,FINDLAY AIRPORT,OH,41.017,-83.667,-5,244,II,12
725370,DETROIT METROPOLITAN ARPT,MI,42.217,-83.35,-5,194,I,24
725374,ANN ARBOR MUNICIPAL,MI,42.217,-83.75,-5,256,II,12
725375,DETROIT CITY AIRPORT,MI,42.4,-83,-5,190,I,12
725376,DETROIT WILLOW RUN AP,MI,42.233,-83.533,-5,218,II,12
725377,MOUNT CLEMENS SELFRIDGE FLD,MI,42.617,-82.833,-5,177,II,12
725378,HOWELL,MI,42.633,-83.983,-5,293,III,11
725384,ST.CLAIR COUNTY INT,MI,42.917,-82.533,-5,198,III,11
725390,LANSING CAPITAL CITY ARPT,MI,42.783,-84.583,-5,256,I,24
725395,JACKSON REYNOLDS FIELD,MI,42.267,-84.467,-5,304,II,12
725396,BATTLE CREEK KELLOGG AP,MI,42.3,-85.25,-5,283,II,12
725430,ROCKFORD GREATER ROCKFORD AP,IL,42.2,-89.1,-6,223,I,24
725440,MOLINE QUAD CITY INTL AP,IL,41.467,-90.517,-6,180,I,24
725450,CEDAR RAPIDS MUNICIPAL AP,IA,41.883,-91.717,-6,256,II,12
725453,ATLANTIC,IA,41.4,-95.05,-6,360,III,10
725454,WASHINGTON,IA,41.283,-91.667,-6,230,III,10
725455,BURLINGTON MUNICIPAL AP,IA,40.783,-91.117,-6,211,II,12
725456,KEOKUK MUNI,IA,40.467,-91.433,-6,205,III,10
725457,ALGONA,IA,43.083,-94.267,-6,372,III,10
725460,DES MOINES INTL AP,IA,41.533,-93.667,-6,292,I,24
725463,CHARLES CITY,IA,43.067,-92.617,-6,343,III,10
725464,NEWTON MUNI,IA,41.683,-93.017,-6,290,III,10
725465,OTTUMWA INDUSTRIAL AP,IA,41.1,-92.45,-6,257,II,12
725467,SHENANDOAH MUNI,IA,40.75,-95.417,-6,296,III,10
725468,CARROLL,IA,42.05,-94.783,-6,375,III,10
725469,CHARITON,IA,41.033,-93.367,-6,320,III,10
725470,DUBUQUE REGIONAL AP,IA,42.4,-90.7,-6,322,I,12
725473,CLINTON MUNI (AWOS),IA,41.833,-90.333,-6,216,II,12
725474,CRESTON,IA,41.017,-94.367,-6,394,III,10
725475,MONTICELLO MUNI,IA,42.233,-91.167,-6,259,III,10
725476,DECORAH,IA,43.283,-91.733,-6,353,III,10
725477,DENISON,IA,41.983,-95.383,-6,388,III,10
725478,WEBSTER CITY,IA,42.433,-93.867,-6,342,III,10
725479,CLARINDA,IA,40.717,-95.033,-6,303,III,10
725480,WATERLOO MUNICIPAL AP,IA,42.55,-92.4,-6,264,I,24
725483,FORT MADISON,IA,40.667,-91.333,-6,221,III,10
725484,LE MARS,IA,42.783,-96.2,-6,365,III,10
725485,MASON CITY MUNICIPAL ARPT,IA,43.15,-93.333,-6,364,I,24
725486,BOONE MUNI,IA,42.05,-93.85,-6,354,III,10
725487,MUSCATINE,IA,41.367,-91.15,-6,167,III,10
725488,OELWEN,IA,42.683,-91.967,-6,328,III,10
725489,ORANGE CITY,IA,42.983,-96.067,-6,431,III,10
725490,FORT DODGE (AWOS),IA,42.55,-94.183,-6,355,II,12
725493,KNOXVILLE,IA,41.3,-93.117,-6,283,III,10
725494,RED OAK,IA,41.017,-95.267,-6,318,III,10
725495,SHELDON,IA,43.217,-95.833,-6,432,III,10
725496,STORM LAKE,IA,42.6,-95.233,-6,454,III,10
725497,COUNCIL BLUFFS,IA,41.267,-95.767,-6,382,III,10
725500,OMAHA EPPLEY AIRFIELD,NE,41.317,-95.9,-6,299,I,12
725510,LINCOLN MUNICIPAL ARPT,NE,40.833,-96.767,-6,357,II,12
725515,BEATRICE MUNICIPAL,NE,40.3,-96.75,-6,403,III,11
725520,GRAND ISLAND CENTRAL NE REGIO,NE,40.967,-98.317,-6,561,II,24
725524,ORD/SHARP FIELD,NE,41.617,-98.95,-6,631,II,12
725525,HASTINGS MUNICIPAL,NE,40.6,-98.433,-6,596,II,12
725526,KEARNEY MUNI (AWOS),NE,40.733,-99,-6,649,II,12
725527,TEKAMAH (ASOS),NE,41.767,-96.167,-6,312,III,10
725530,OMAHA WSFO,NE,41.367,-96.017,-6,399,III,13
725533,FALLS CITY/BRENNER,NE,40.083,-95.6,-6,300,II,12
725540,BELLEVUE OFFUTT AFB,NE,41.117,-95.917,-6,319,II,12
725555,BROKEN BOW MUNI,NE,41.433,-99.65,-6,776,II,12
725556,AINSWORTH MUNICIPAL,NE,42.583,-100,-6,789,II,12
725560,NORFOLK KARL STEFAN MEM ARPT,NE,41.983,-97.433,-6,472,I,24
725564,FREMONT MUNI ARPT,NE,41.45,-96.517,-6,379,III,10
725565,COLUMBUS MUNI,NE,41.45,-97.333,-6,451,II,12
725566,O`NEILL/BAKER FIELD,NE,42.467,-98.683,-6,619,III,12
725570,SIOUX CITY SIOUX GATEWAY AP,IA,42.383,-96.383,-6,333,I,24
725610,SIDNEY MUNICIPAL AP,NE,41.1,-102.983,-7,1313,II,12
725620,NORTH PLATTE REGIONAL AP,NE,41.117,-100.667,-6,847,I,24
725625,MCCOOK MUNICIPAL,NE,40.2,-100.583,-6,786,II,12
725626,IMPERIAL FAA AP,NE,40.517,-101.617,-7,998,II,12
725628,BREWSTER FIELD ARPT,NE,40.45,-99.333,-6,704,III,10
725635,ALLIANCE MUNICIPAL,NE,42.05,-102.8,-7,1198,II,12
725636,CHADRON MUNICIPAL AP,NE,42.833,-103.083,-7,1011,II,12
725640,CHEYENNE MUNICIPAL ARPT,WY,41.15,-104.8,-7,1867,I,24
725645,LARAMIE GENERAL BREES FIELD,WY,41.317,-105.683,-7,2215,II,12
725650,DENVER INTL AP,CO,39.833,-104.65,-7,1650,I,12
